Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cakes,1 slice,40.00,110.00,3.00,t,0.00,0.00,23.00,"Desserts, sweets"
Chocolate fudge,1 slice,120.00,420.00,5.00,14.00,12.00,0.30,70.00,"Desserts, sweets"
Cupcake,1.00,50.00,160.00,3.00,3.00,2.00,t,31.00,"Desserts, sweets"
Fruit cake,1 slice,30.00,105.00,2.00,4.00,3.00,0.20,17.00,"Desserts, sweets"
Gingerbread,1 slice,55.00,180.00,2.00,7.00,6.00,t,28.00,"Desserts, sweets"
"Plain, with no icing",1 slice,55.00,180.00,4.00,5.00,4.00,t,31.00,"Desserts, sweets"
Sponge cake,1 slice,40.00,115.00,3.00,2.00,2.00,0.00,22.00,"Desserts, sweets"
Candy,5.00,25.00,104.00,t,3.00,3.00,0.00,19.00,"Desserts, sweets"
Chocolate creams,2.00,30.00,130.00,t,4.00,4.00,0.00,24.00,"Desserts, sweets"
Fudge,2 pieces,90.00,370.00,t,12.00,11.00,0.10,80.00,"Desserts, sweets"
Hard candies,1 oz.,28.00,90.00,t,0.00,0.00,0.00,28.00,"Desserts, sweets"
Marshmallows,5.00,30.00,98.00,1.00,0.00,0.00,0.00,23.00,"Desserts, sweets"
Milk chocolate,2-oz. bar,56.00,290.00,2.00,6.00,6.00,0.20,44.00,"Desserts, sweets"
Chocolate syrup,2 T.,40.00,80.00,t,t,t,0.00,22.00,"Desserts, sweets"
Doughnuts,1.00,33.00,135.00,2.00,7.00,4.00,t,17.00,"Desserts, sweets"
"Gelatin, made with water",1 cup,239.00,155.00,4.00,t,t,0.00,36.00,"Desserts, sweets"
Honey,2 T.,42.00,120.00,t,0.00,0.00,0.00,30.00,"Jams, Jellies"
Ice cream,2 cups,300.00,250.00,0.00,0.00,12.00,10.00,0.00,"Desserts, sweets"
Ices,1 cup,150.00,117.00,0.00,0.00,0.00,0.00,48.00,"Desserts, sweets"
preserves,1 T.,20.00,55.00,0.00,0.00,0.00,t,14.00,"Jams, Jellies"
Jellies,1 T.,20.00,50.00,0.00,0.00,0.00,0.00,13.00,"Jams, Jellies"
Molasses,1 T.,20.00,45.00,0.00,0.00,0.00,8.00,11.00,"Jams, Jellies"
Cane Syrup,1 T.,20.00,50.00,0.00,0.00,0.00,0.00,13.00,"Jams, Jellies"
"9"" diam. pie",1 slice,135.00,330.00,3.00,13.00,11.00,0.10,53.00,"Desserts, sweets"
Cherry Pie,1 slice,135.00,340.00,3.00,13.00,11.00,0.10,55.00,"Desserts, sweets"
Custard,1 slice,130.00,265.00,7.00,11.00,10.00,0.00,34.00,"Desserts, sweets"
Lemon meringue,1 slice,120.00,300.00,4.00,12.00,10.00,0.10,45.00,"Desserts, sweets"
Mince,1 slice,135.00,340.00,3.00,9.00,8.00,0.70,62.00,"Desserts, sweets"
Pumpkin Pie,1 slice,130.00,265.00,5.00,12.00,11.00,8.00,34.00,"Desserts, sweets"
Puddings Sugar,1 cup,200.00,770.00,0.00,0.00,0.00,0.00,199.00,"Desserts, sweets"
3 teaspoons sugar,1 T.,12.00,50.00,0.00,0.00,0.00,0.00,12.00,"Desserts, sweets"
"Brown, firm-packed, dark sugar",1 cup,220.00,815.00,0.00,t,0.00,0.00,210.00,"Jams, Jellies"
Syrup,2 T.,40.00,100.00,0.00,0.00,0.00,0.00,25.00,"Jams, Jellies"
table blends sugar,2 T.,40.00,110.00,0.00,0.00,0.00,0.00,29.00,"Jams, Jellies"
Tapioca cream pudding,1 cup,250.00,335.00,10.00,10.00,9.00,0.00,42.00,"Desserts, sweets"
Almonds,1/2 cup,70.00,425.00,13.00,38.00,28.00,1.80,13.00,Seeds and Nuts
roasted and salted,1/2 cup,70.00,439.00,13.00,40.00,31.00,1.80,13.00,Seeds and Nuts
Brazil nuts,1/2 cup,70.00,457.00,10.00,47.00,31.00,2.00,7.00,Seeds and Nuts
Cashews,1/2 cup,70.00,392.00,12.00,32.00,28.00,0.90,20.00,Seeds and Nuts
coconut sweetened,1/2 cup,50.00,274.00,1.00,20.00,19.00,2.00,26.00,Seeds and Nuts
Peanut butter,1/3 cup,50.00,300.00,12.00,25.00,17.00,0.90,9.00,Seeds and Nuts
"Peanut butter, natural",1/3 cup,50.00,284.00,13.00,24.00,10.00,0.90,8.00,Seeds and Nuts
Peanuts,1/3 cup,50.00,290.00,13.00,25.00,16.00,1.20,9.00,Seeds and Nuts
Pecans,1/2 cup,52.00,343.00,5.00,35.00,25.00,1.10,7.00,Seeds and Nuts
Sesame seeds,1/2 cup,50.00,280.00,9.00,24.00,13.00,3.10,10.00,Seeds and Nuts
Sunflower seeds,1/2 cup,50.00,280.00,12.00,26.00,7.00,1.90,10.00,Seeds and Nuts
Walnuts,1/2 cup,50.00,325.00,7.00,32.00,7.00,1.00,8.00,Seeds and Nuts
Beer,2 cups,480.00,228.00,t,0.00,0.00,0.00,8.00,"Drinks,Alcohol, Beverages"
Gin,1 oz.,28.00,70.00,0.00,0.00,0.00,0.00,t,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,120.00,164.00,t,0.00,0.00,0.00,9.00,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),1/2 cup,120.00,100.00,t,0.00,0.00,0.00,5.00,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,12 oz.,346.00,0.00,0.00,0.00,0.00,0.00,0.00,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,346.00,0.00,0.00,0.00,0.00,0.00,0.00,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,346.00,137.00,0.00,0.00,0.00,0.00,38.00,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,12 oz.,346.00,161.00,0.00,0.00,0.00,0.00,42.00,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,346.00,105.00,0.00,0.00,0.00,0.00,28.00,"Drinks,Alcohol, Beverages"
Root beer,12 oz.,346.00,140.00,0.00,0.00,0.00,0.00,35.00,"Drinks,Alcohol, Beverages"
Coffee,1 cup,230.00,3.00,t,0.00,0.00,0.00,1.00,"Drinks,Alcohol, Beverages"
Tea,1 cup,230.00,4.00,0.00,t,0.00,0.00,1.00,"Drinks,Alcohol, Beverages"
